Date,Actual,Predicted,Baseline
805,-0.0069808835654376,0.008487997132212446,0.0012843091425589082
806,0.0175620062171666,0.02459734823251082,0.005955102331013333
807,-0.0110194573100675,0.005407906150632121,0.0007443364594765241
808,0.00891840371831,-0.011751275551479538,-0.001117119355391638
809,0.0129821938977849,0.005309048492543176,0.0025397643090205343
810,-0.0164632237757136,-0.0028350476874689787,-0.000518464708056838
811,0.0029845287333754,0.01176284815661125,0.0028582614200174114
812,0.0056398072531045,0.003085258745693405,-0.00021228910960034708
813,0.0016469543057482,-0.00822884842737356,-0.0013613679466296822
814,-0.0015738434957162,-0.0031122925793853704,-0.000792497950369078
815,0.0142372688798364,0.011456957981065035,0.0029253896077056024
816,0.0057152693886679,0.007238623801710746,0.0017671307754060822
817,0.0144365424717638,0.009656085538707348,0.0030142275296965145
818,0.0036988464765423,-0.0030061292980740435,-0.001144756201637454
819,-0.0057969720833299,-0.0023823098643433443,-0.001152493122261433
820,-0.0024923705312281,-0.007906304384771561,-0.002467247507578091
821,0.0035791630944272,0.012414286033782652,0.002027883401628502
822,0.0009963029974375,-0.0022656382816958736,0.00041237746587441306
823,-4.1352477946232646e-05,-0.012347256799496723,-0.0020829671584620354
824,-0.0041348840520069,-0.0022978783461610596,-0.00174623566390418
825,0.0132626899936381,0.011038386922055688,0.0021013265089557826
826,-0.0020693734728036,-0.00562044426178897,-0.000433038726683656
827,0.0033061569029655,0.005212247094362447,0.0013272091821931232
828,0.0008552202959737,0.0008078035754134087,0.0008352506131660009
829,-8.42619976980652e-05,0.0001533492157076861,9.285816357395302e-05
830,-0.0059525481529729,-0.00930736739589259,-0.003997480519775769
831,0.0009031888869577,-0.0005948423189919515,0.00019852769283255298
832,0.0008515791660903,-0.0077212874032551275,-0.001425886161086252
833,-0.0158108588827732,-0.014199562124558864,-0.003289861341101271
834,-0.0038411871973298,0.03600127015622694,0.005571400190237738
835,0.019566149722497,0.016993914119432754,0.0035804762060525235
836,0.0082532027534605,0.0058441600534167235,0.002032887213678373
837,-0.0003861064902076,0.0004114461131996413,0.0014028077446258769
