Date,Actual,Baseline_Persistence,Predicted_Linear_Regression,Predicted_Random_Forest
870,-0.0036716195284263,,-0.002680616361685864,0.002591340713621612
871,-0.0047351076976228,-0.0036716195284263,0.0019446135109872763,-5.304081553658704e-05
872,-0.0052452815830036,-0.0047351076976228,0.00015898454023117277,-0.0005369208194590573
873,0.0037107984144384,-0.0052452815830036,0.0013644979883549971,0.0021997477354963146
874,-0.0076588087666845,0.0037107984144384,0.000505514549100685,-8.157035468200117e-05
875,-0.0044868382932564,-0.0076588087666845,0.0018822080378654712,-0.0009132054079919287
876,0.011455854954693,-0.0044868382932564,0.0035754941742357463,0.0014841887356417203
877,-0.0003540766884383,0.011455854954693,-7.99747363056766e-05,0.0005247775313012075
878,0.0044735446728059,-0.0003540766884383,-0.0004148565924043577,0.0022808435221177916
879,0.0122690044957141,0.0044735446728059,-0.0007118699290916445,0.000965054938370908
880,0.0011706778016009,0.0122690044957141,-0.0034224571467511935,-0.0010187028997507772
881,-0.0019683184132291,0.0011706778016009,0.00032788332301616043,0.001656969958887974
882,-0.0079225113365009,-0.0019683184132291,0.0005722230479413649,0.000966135380100963
883,-0.0028651005386203,-0.0079225113365009,-0.001399796767791197,-0.0033649614590767684
884,0.0024050260571313,-0.0028651005386203,0.0017879514030643712,0.0022470520421911445
885,0.0067422110558885,0.0024050260571313,0.0031939533680229635,-0.0012286563860032925
886,0.0074112334853124,0.0067422110558885,-0.00010843935838308601,0.0011875181010945238
887,0.0084701534580691,0.0074112334853124,-0.00015846519628586906,-8.509773575672006e-05
888,-0.0010244071333035,0.0084701534580691,0.001025547913004167,0.00097753163301881
889,0.0038553825145495,-0.0010244071333035,0.0025674774312050798,0.0012178462511540221
890,0.0071172752058423,0.0038553825145495,-0.0025564891046390833,-1.554422598256566e-05
891,0.002357910335732,0.0071172752058423,-0.00020681829979620186,0.004937084762713069
892,-0.0067568962189037,0.002357910335732,0.0018481337190966003,-0.00035710888181259644
893,0.000324094521898,-0.0067568962189037,-0.0004729398609471928,0.0027878697870627254
894,0.0040341538771535,0.000324094521898,0.0023029949831584497,0.0010744805470172415
895,0.0028146733515561,0.0040341538771535,-0.0014481111972476529,0.00047964274041337055
896,-0.0001554388967985,0.0028146733515561,0.0019529201606365153,0.00138439762895064
897,-0.0064246660644878,-0.0001554388967985,-9.442272498279215e-05,-0.001164802535753603
898,0.0098778427947523,-0.0064246660644878,0.0014849944855094715,0.00015041207121224042
899,0.0014687129405193,0.0098778427947523,-0.00039637348705183224,6.86318096166713e-05
900,-0.0026650876392156,0.0014687129405193,-0.0002995913444557366,0.0009224690841683996
901,-0.0138395413363479,-0.0026650876392156,0.0003082116518971329,0.0010989068575369195
902,-0.0025479738404268,-0.0138395413363479,0.0018917965998905897,-0.002188386440492886
903,-0.0053000741550505,-0.0025479738404268,-0.0004747058712706886,0.001153185585377629
904,0.0090240927793627,-0.0053000741550505,0.005901233174435748,0.002784632795272105
905,-0.0042182830447931,0.0090240927793627,-0.005192528553184302,-0.0040909029125028315
906,-0.0070387303805971,-0.0042182830447931,-0.00079826050085811,0.0007281296370380989
907,0.0002507139445697,-0.0070387303805971,0.004940407317011605,0.002468615852511536
908,-0.001069692370023,0.0002507139445697,0.0018201127183539794,0.00149982182383636
909,0.005750475751703,-0.001069692370023,8.679744171264086e-05,0.0014334671706587843
910,-0.0115509094288417,0.005750475751703,-0.0004389191381281648,0.0004977097398871024
911,-0.0075553952105776,-0.0115509094288417,0.004249029988511817,0.002152322916244817
912,-0.0077129130290369,-0.0075553952105776,0.0013290055613923287,0.0014834466366644718
913,-0.0001487068260008,-0.0077129130290369,0.0014348736681372154,0.0015331745432501937
914,0.0068791885187959,-0.0001487068260008,0.0007678552195303696,0.0008296003673923117
915,-0.0027774667288296,0.0068791885187959,-0.0002181598671273492,-0.00012278544324035445
916,0.0110448799659725,-0.0027774667288296,0.0010863519488964785,0.0007886644683654507
917,-0.0134579746631461,0.0110448799659725,-0.0032657778466757604,-0.0005738282899309746
918,0.006717966037625,-0.0134579746631461,0.0023060396715380268,0.002755777655080164
919,0.0062646197550364,0.006717966037625,-0.0011190749790502123,-0.00031168707423363156
920,0.0145083071945462,0.0062646197550364,0.00075361282936892,-0.00011446148497532775
921,0.003833182103508,0.0145083071945462,-0.0019611737330134616,-0.0008203429635367868
922,-0.0015969365120942,0.003833182103508,-0.001995420681346345,-0.0004756530960122363
923,0.001799129260001,-0.0015969365120942,0.0010919038366835902,0.0012405118685747429
924,-0.004194177587506,0.001799129260001,-0.0007176972202986771,0.0002759012197845265
