Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2020-01-02,123.7022933959961,123.74906447471952,122.31752110976296,123.29060510965036,2204200
2020-01-03,123.29061126708984,123.94556344767435,121.84970219291718,121.91520454941902,1963500
2020-01-06,123.74909973144531,124.02979766818837,122.51404879742209,122.96315693007689,2102900
2020-01-07,123.98296356201172,124.3759348082204,123.22508942454606,123.22508942454606,2448300
2020-01-08,125.10578918457031,125.57361426460449,123.51517249094337,123.93622648448488,5188600
2020-01-09,127.173583984375,127.58527239071205,125.38648852818018,125.89174767300845,4522800
2020-01-10,129.11968994140625,129.37231941925415,126.80863347928971,127.04254596106763,4177600
2020-01-13,129.9992218017578,130.98165722150347,129.01678638201216,129.3068356167142,5117100
2020-01-14,131.5991973876953,131.8331099420829,129.2320034794442,130.04602887699767,4685200
2020-01-15,132.02955627441406,132.57223492271166,131.00033568680064,131.53366297589605,3676500
2020-01-16,132.32899475097656,132.83425383042984,130.85068006770248,132.70326337962499,3794800
2020-01-17,130.5980682373047,132.61907627539333,130.3922240328573,131.81441646079637,5393200
2020-01-21,131.8424835205078,132.46001612772986,129.52206056189593,130.52321320786714,4849500
2020-01-22,132.4506378173828,133.09623872891137,131.6366267255714,132.16058854452535,2742100
2020-01-23,132.12310791015625,132.6190011371227,130.87869202537257,132.16052761845012,3138700
2020-01-24,130.12088012695312,132.85297699688755,129.77467984477488,132.72198654000331,3183300
2020-01-27,129.4097442626953,130.14891572946055,128.50216265528104,128.50216265528104,2826400
2020-01-28,130.298583984375,130.87869655964442,129.33486584749522,129.76527103063816,2649100
2020-01-29,130.91612243652344,132.05761637071737,130.02725795383364,130.53250257995853,2815500
2020-01-30,133.4891815185547,134.47161685723856,129.21326851519078,129.28810795025947,5243400
2020-01-31,130.6541748046875,133.65761780204485,130.49511600649973,133.65761780204485,3913500
2020-02-03,131.92665100097656,132.4599783579284,130.6915861387004,131.48689435548908,5137800
2020-02-04,134.20962524414062,134.79908925547025,132.65644296859926,133.14298491885364,3177500
2020-02-05,137.86802673339844,137.87737809328013,135.2294870044578,135.46339949346807,4060900
2020-02-06,137.82125854492188,138.3545716623054,137.36278486968328,138.23294686115455,3285000
2020-02-07,136.988525390625,137.7463996365532,136.02480699433528,137.7463996365532,2670400
2020-02-10,136.14646911621094,136.183903123023,132.0389648973521,132.39451657761424,4892100
2020-02-11,134.96754455566406,136.47394198451863,133.96639196497858,136.35230288702505,2976400
2020-02-12,134.27513122558594,135.57568420163415,134.25642850426618,135.36048869136494,3953200
2020-02-13,133.3628387451172,135.18741016394827,133.3534245650735,134.35976596962055,3455500
2020-02-14,132.7233123779297,133.8519234927393,132.2060490263428,133.78608162565794,2273700
2020-02-18,132.61985778808594,133.51334398552936,132.16842194945798,132.6292719696716,2858200
2020-02-19,132.45054626464844,133.4004455930259,132.00851035171945,133.19353455502153,3082800
2020-02-20,133.55096435546875,134.31276685600233,132.79856168610556,133.20298404062927,3417000
2020-02-21,133.5885772705078,134.1622826881563,131.98033074540103,132.93023032014577,2900900
2020-02-24,129.93003845214844,133.1653599811693,129.66669966265954,130.99280779244214,4727400
2020-02-25,127.35305786132812,130.9457589718932,126.61005511993959,130.6730203946133,3401600
2020-02-26,125.5849380493164,128.8672875412475,125.37802694375696,127.93618756622998,4659000
2020-02-27,121.50316619873047,126.6571008613875,121.37149680646546,125.39683462815279,4292800
2020-02-28,118.6252212524414,119.25536148711367,114.2801173525306,118.86034617085019,7898300
2020-03-02,124.93598175048828,125.08646515277972,118.7004710707688,120.13943452182379,7355700
2020-03-03,122.55653381347656,127.57879959515046,121.03292864060421,125.34981953100181,6936600
2020-03-04,132.02735900878906,132.47879486887032,125.0864662871861,125.11468013151072,5301900
2020-03-05,131.81103515625,133.4663239125484,129.34693038607156,130.1463609195918,6882100
2020-03-06,133.04310607910156,133.8895501463828,127.48474889807638,128.0208263137844,8010700
2020-03-09,127.64459228515625,132.54458660516184,125.37798506375314,126.04574601789523,5351300
2020-03-10,132.78915405273438,133.48511464152125,126.70411988628288,130.94576833864946,5961200
2020-03-11,131.68875122070312,133.40045294199183,129.21523280794838,131.16207376799892,7211800
2020-03-12,118.52176666259766,128.37820647835022,118.43712513550595,123.00794698453625,7836300
2020-03-13,131.07745361328125,131.07745361328125,120.86362512712374,125.03944656965827,6841700
2020-03-16,121.68183898925781,130.42847351173353,120.61906988260945,123.20544370075508,6619700
2020-03-17,134.67955017089844,135.04634446897205,123.29951274932803,125.28396763144077,8909200
2020-03-18,134.5760955810547,135.43195373288492,126.10219864228141,128.22772274982572,6734600
2020-03-19,125.17111206054688,134.47265429470187,123.3183263490648,134.01181858786322,6554800
2020-03-20,115.11714172363281,124.38106048333336,113.0762595043488,124.29641897145092,9113500
2020-03-23,111.96648406982422,119.33059073570854,110.0948846356575,113.75342763043037,7299300
2020-03-24,115.5780029296875,117.1862564912185,110.42406879836766,115.90717637641437,6827300
2020-03-25,114.68453979492188,118.63463580529947,112.11697236536598,112.97283056703246,6472100
2020-03-26,126.35614013671875,127.66343414259357,114.68453544309118,115.95420860000172,6723600
2020-03-27,126.13041687011719,129.4221658600231,122.45305955432373,122.87628155427716,4717400
2020-03-30,130.20281982421875,133.33468648686662,125.56614744978341,125.90472801739105,5057400
2020-03-31,130.46612548828125,133.56977751015054,126.51602943812361,128.81085110703165,7560100
2020-04-01,128.30296325683594,129.02715202097016,125.06764209595615,126.02695577758587,3297900
2020-04-02,133.72024536132812,134.30336495531498,125.11467853110166,127.29664480354369,4725000
2020-04-03,131.3501739501953,135.99624414193727,130.2215773315624,132.53519824712717,4013200
2020-04-06,133.1841583251953,134.9617021205525,131.9521060584247,133.80489154919587,4159900
2020-04-07,133.43809509277344,136.184352351929,131.7169790091229,134.6137196566698,3900600
2020-04-08,137.51986694335938,138.48858048390252,132.14020752453857,133.59798492612535,4006600
2020-04-09,137.0590057373047,137.6891387612097,135.0087234521408,135.91159505172084,4415300
2020-04-13,135.8269500732422,137.86783247657505,134.37858700828775,136.34422772175628,2289000
2020-04-14,142.118896484375,142.53271860846016,135.4789715412406,138.516781259942,3809600
2020-04-15,142.1847381591797,144.27264864714797,139.6736056751933,140.0780280097966,3614400
2020-04-16,145.5235137939453,146.33234410570768,142.95595364475807,143.79299779930045,3512900
2020-04-17,147.9312286376953,148.2886232057052,143.92470407615073,146.17249834943846,3709900
2020-04-20,148.40139770507812,150.66800475970192,146.35111585047332,147.310429280596,2562200
2020-04-21,143.58604431152344,146.52981207984072,142.40102021208892,146.16301788114322,4270200
2020-04-22,147.3857421875,147.9218196554675,144.4325731447813,145.41068670345513,3278000
2020-04-23,150.41412353515625,152.88764255884172,144.83696670563177,147.82774912969853,5692900
2020-04-24,153.23561096191406,155.0883965398946,151.05365909575065,152.36095311946866,4414000
2020-04-27,151.69320678710938,154.71221746665492,151.1571293623007,154.24196756554048,3210300
2020-04-28,147.94061279296875,152.3421447121631,147.2728516594736,151.36403129152677,3270200
2020-04-29,145.9279327392578,148.6271622090829,145.4670827330666,148.37322327906847,3240700
2020-04-30,145.43885803222656,147.63962365900906,144.15977799812575,145.96553551375897,4175800
2020-05-01,144.48898315429688,145.40126907230314,142.55155593902998,144.57362468873765,2576400
2020-05-04,144.1597900390625,146.7179503209343,142.25997666409455,145.44827001049478,2228500
2020-05-05,148.49549865722656,149.74636499379608,143.6613307212317,144.64885828703783,2862600
2020-05-06,147.35751342773438,149.4830523283778,147.04716109797505,149.03161640692957,1964800
2020-05-07,143.86822509765625,148.30738436197234,143.6331001974314,148.12868714165984,2330600
2020-05-08,144.3760986328125,145.2319567735088,143.4732269895017,145.02504569881552,1966600
2020-05-11,149.11627197265625,149.9815302163285,143.97173602805043,144.33853043950813,3196200
2020-05-12,148.3356170654297,151.7966491484463,148.2133475094808,150.35768572415128,2329400
2020-05-13,148.53311157226562,149.8686337825958,146.75556770325224,147.6866675778351,2650000
2020-05-14,149.6575927734375,150.19619384543068,145.33926802274937,147.35196781773453,2393900
2020-05-15,150.46075439453125,150.72533285771632,147.43699023066998,149.8938067241825,2824500
2020-05-18,149.26072692871094,153.4278454830873,148.4575329333194,152.45457148967694,2703700
2020-05-19,148.0701141357422,150.3662951135978,146.72831901740707,148.21186189053046,2339400
2020-05-20,144.69674682617188,148.75992337678312,143.26045304720088,146.71889101750193,3780800
2020-05-21,143.89352416992188,144.71560628462015,141.474512654783,144.71560628462015,3049800
2020-05-22,142.83518981933594,144.15808204681466,141.89970676090493,143.83681027991895,2355000
2020-05-26,139.81143188476562,143.40214363369796,139.0554872571424,142.78794673412915,5013400
2020-05-27,137.67588806152344,140.0098593634868,135.71043778521508,140.0098593634868,5376100
2020-05-28,142.35328674316406,143.72344281253928,138.44128844174958,139.31061979556992,3982700
2020-05-29,144.52662658691406,145.17862872606366,141.68240062550163,143.30767672300766,9466300
2020-06-01,144.0541534423828,146.45427668278776,142.58006926938214,145.9629104856391,5233800
