Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-04-13,244.85330200195312,246.20062389238433,239.90065414870512,243.50595175461137,2964900
2020-04-14,251.3484344482422,253.73648368100706,248.0962365903167,249.95463536627412,4778900
2020-04-15,261.7368469238281,262.9540957145823,251.515654822776,256.7656250942068,7841800
2020-04-16,277.30096435546875,278.7598141887159,260.1851276441538,263.37227471405197,7738900
2020-04-17,269.9881286621094,282.476568704988,266.7731072345467,279.67966992090163,5857500
2020-04-20,262.1643371582031,268.54793261672677,261.3559098454975,265.10058236222363,4072600
2020-04-21,254.77713012695312,260.17577519366904,253.90368061310738,255.48333059097544,3977500
2020-04-22,257.4068908691406,263.7254658478029,257.11884123048907,259.78563983428364,3663300
2020-04-23,265.12841796875,268.0368162509767,258.8191752773013,259.3023486942006,4420500
2020-04-24,270.66644287109375,271.2332407717002,263.8925727640812,266.94964607159966,3265000
2020-04-27,273.1659851074219,275.84205492565167,270.05316218346707,272.4504835904985,3706200
2020-04-28,267.9438781738281,277.1336722323468,265.39788134052344,276.9013724232668,3862900
2020-04-29,267.2841796875,272.0231019079189,265.84393207908744,271.32620241541355,4258400
2020-04-30,271.7628479003906,274.11372036791386,265.30490314557113,266.3549026115428,7631700
2020-05-01,264.3665466308594,268.53864311929516,259.80417389337276,267.9718450617476,3526100
2020-05-04,267.1820068359375,267.55368092931195,262.13643247809716,264.3479316155114,2894200
2020-05-05,272.29254150390625,275.042963195931,266.9496461039853,269.43059208807944,2501300
2020-05-06,268.3248596191406,276.6040284136802,268.0182363409329,274.2067068042325,2579200
2020-05-07,264.82183837890625,271.59571018474537,264.3758124426203,270.4527846737781,3162300
2020-05-08,266.68017578125,269.4677734375,265.43505223095417,268.9938727617264,3200000
2020-05-11,268.25054931640625,269.56072373775896,265.06340250962927,265.34215095803944,3490700
2020-05-12,267.33062744140625,272.39474618582,267.33062744140625,271.1124467226938,4214300
2020-05-13,258.31732177734375,266.1225876992354,256.05007395074574,264.3478142079368,5474100
2020-05-14,270.0345458984375,271.7442972538713,256.1244621274308,256.39390945849743,5704600
2020-05-15,270.3597717285156,278.75973982861865,270.136773010863,271.7071218137835,12182800
