Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
29,2020-02-13,226.47000122070312,227.3999938964844,226.1000061035156,226.52999877929688,2838500,-0.004264866383621446,1.2999877929688068,-0.25010567473317125
30,2020-02-14,226.8000030517578,227.13999938964844,225.5200042724609,226.4900054931641,2506200,0.0014571547192825385,1.6199951171875284,-0.11706887440549585
31,2020-02-18,226.7700042724609,227.3800048828125,225.2700042724609,226.38999938964844,3153000,-0.00013226974820657045,2.110000610351591,0.2580799616949965
32,2020-02-19,229.2400054931641,229.7100067138672,226.92999267578125,227.67999267578125,3187000,0.010892098488191282,2.7800140380859375,0.010783380907072537
33,2020-02-20,228.1699981689453,229.7899932861328,227.1499938964844,229.75999450683597,3547700,-0.004667629116117289,2.639999389648409,0.11317853780985243
34,2020-02-21,229.3300018310547,230.07000732421875,226.97999572753903,227.52999877929688,4699100,0.005083944740405633,3.090011596679716,0.3245482988978774
35,2020-02-24,221.69000244140625,223.94000244140625,220.2700042724609,221.30999755859372,7932400,-0.03331443478240037,3.669998168945341,0.6880679279010875
36,2020-02-25,218.0500030517578,223.2400054931641,216.75999450683597,222.1999969482422,8558600,-0.016419321347657556,6.480010986328125,0.07894206041046847
37,2020-02-26,216.05999755859372,220.6300048828125,215.94000244140625,219.6499938964844,6901700,-0.009126372232573288,4.69000244140625,-0.19359474680438393
38,2020-02-27,207.6699981689453,214.3800048828125,207.27999877929688,212.8999938964844,10941800,-0.03883180359368976,7.100006103515625,0.5853775156845415
39,2020-02-28,206.33999633789065,206.44000244140625,199.67999267578125,201.9199981689453,15147200,-0.0064044004564042245,6.760009765625,0.38434261273282266
40,2020-03-02,217.6300048828125,218.8000030517578,204.42999267578125,207.25,10395800,0.05471556045990211,14.370010375976562,-0.3136817365585719
41,2020-03-03,208.80999755859372,218.1499938964844,206.1999969482422,217.38999938964844,10716100,-0.040527533549282846,11.949996948242216,0.03081051963292869
42,2020-03-04,217.8600006103516,218.33999633789065,209.25999450683597,212.13999938964844,7408700,0.04334085128859,9.080001831054688,-0.3086384038969401
43,2020-03-05,208.9600067138672,212.75,207.00999450683597,212.5500030517578,8112700,-0.04085189512324605,5.740005493164034,0.09502341841348683
44,2020-03-06,205.97999572753903,207.41000366210935,202.3500061035156,203.47999572753903,9443500,-0.014261154721385227,5.05999755859375,0.16403909919015858
45,2020-03-09,193.1300048828125,198.47999572753903,192.25999450683597,195.0,13950500,-0.06238465439005014,6.220001220703068,0.4772594906549479
46,2020-03-10,202.72999572753903,202.8600006103516,195.0500030517578,201.3500061035156,10929200,0.0497074022783337,7.809997558593778,-0.21657288269237662
47,2020-03-11,194.63999938964844,198.1300048828125,192.8699951171875,197.32000732421875,9573900,-0.03990527553092449,5.260009765625,-0.12400724664202323
48,2020-03-12,175.97000122070312,187.6699981689453,175.0,183.6000061035156,22293800,-0.09592066495833662,12.669998168945312,1.328601719257565
49,2020-03-13,196.3999938964844,196.5,178.41000366210938,187.4499969482422,14859100,0.11609929268658581,18.089996337890625,-0.33348733728659985
50,2020-03-16,177.77000427246094,188.3800048828125,173.6199951171875,174.0,14168600,-0.09485738392559562,14.760009765625,-0.046469840030688214
51,2020-03-17,187.6000061035156,187.80999755859372,177.0,181.8800048828125,15072400,0.055296178178567246,10.809997558593722,0.06378894174442085
52,2020-03-18,172.44000244140625,181.38999938964844,167.0,177.2899932861328,16669300,-0.08081025143327669,14.389999389648438,0.10594862132109029
53,2020-03-19,174.67999267578125,176.17999267578125,166.0,170.2100067138672,12488100,0.012989968700192644,10.17999267578125,-0.2508323684857793
54,2020-03-20,170.05999755859375,177.17999267578125,167.2899932861328,176.3000030517578,15213600,-0.026448335876465,9.889999389648438,0.2182477718788287
55,2020-03-23,162.1300048828125,166.69000244140625,159.5,165.3000030517578,16501500,-0.04663055856536158,7.19000244140625,0.08465451964032189
56,2020-03-24,178.1999969482422,179.13999938964844,169.52999877929688,170.91000366210938,14075100,0.09911793981037054,9.610000610351562,-0.1470411780747205
57,2020-03-25,180.47000122070312,189.07000732421875,175.1699981689453,180.00999450683594,13851200,0.012738520265633158,13.900009155273438,-0.015907524635704218
58,2020-03-26,183.8999938964844,184.9600067138672,179.58999633789062,181.2899932861328,14131400,0.019005888250571923,5.3700103759765625,0.02022929421277575
59,2020-03-27,179.66000366210938,184.2400054931641,176.72000122070312,178.5,10259500,-0.023055956362683094,7.520004272460966,-0.27399266880846906
60,2020-03-30,183.17999267578125,184.1100006103516,178.0,180.0399932861328,7672600,0.01959250218146491,6.110000610351591,-0.2521467907792777
61,2020-03-31,182.8300018310547,186.1699981689453,180.57000732421875,182.0500030517578,8996800,-0.0019106390365787318,5.5999908447265625,0.17258817089382994
62,2020-04-01,175.9499969482422,178.6699981689453,174.19000244140625,176.17999267578125,8682700,-0.037630612120050255,4.4799957275390625,-0.034912413302507606
63,2020-04-02,179.72999572753906,180.30999755859372,174.22999572753906,175.0,7271900,0.021483369393912488,6.080001831054659,-0.1624840199477121
64,2020-04-03,178.33999633789062,180.22000122070312,175.44000244140625,178.58999633789062,6643700,-0.007733819744566217,4.779998779296875,-0.08638732655839598
65,2020-04-06,185.2400054931641,186.41000366210935,180.4900054931641,184.6100006103516,9935500,0.03869019455512612,5.919998168945256,0.49547691798244964
66,2020-04-07,185.25,192.0,184.8999938964844,191.9900054931641,8148200,5.395436482147353e-05,7.100006103515597,-0.17989029238588894
67,2020-04-08,191.00999450683597,191.4199981689453,185.13999938964844,187.5500030517578,6109900,0.031093087756199456,6.279998779296875,-0.2501534081146757
68,2020-04-09,193.83999633789065,197.22999572753903,191.4499969482422,194.0,10519600,0.01481598823329322,5.779998779296847,0.721730306551662
69,2020-04-13,188.7700042724609,193.8500061035156,186.0800018310547,193.8500061035156,7888600,-0.02615555180155915,7.770004272460909,-0.2501045667135633
70,2020-04-14,192.94000244140625,194.16000366210935,190.82000732421875,193.32000732421875,7032000,0.022090364329952372,3.3399963378905966,-0.1085870750196486
71,2020-04-15,188.57000732421875,189.58999633789065,187.47000122070312,188.55999755859372,6138300,-0.022649502756768247,2.1199951171875284,-0.12709044368600686
72,2020-04-16,187.9600067138672,188.9900054931641,185.8000030517578,188.8999938964844,6228200,-0.0032348761025541295,3.1900024414062784,0.0146457488229641
73,2020-04-17,191.1999969482422,192.8999938964844,189.0200042724609,192.88999938964844,8272200,0.01723765757950435,3.8799896240234943,0.3281847082624194
74,2020-04-20,188.75,189.3500061035156,187.3000030517578,188.72000122070312,6474700,-0.012813791774826222,2.050003051757784,-0.21729406929232853
75,2020-04-21,183.47999572753903,185.77999877929688,183.27999877929688,184.1699981689453,5882500,-0.027920552436879298,2.5,-0.09146369715971392
76,2020-04-22,186.5800018310547,187.3699951171875,185.33999633789065,186.4600067138672,5470000,0.01689560810824875,2.0299987792968466,-0.07012324691882699
77,2020-04-23,185.6300048828125,187.3500061035156,184.5,186.9900054931641,6211900,-0.0050916332882362525,2.8500061035155966,0.13563071297989038
78,2020-04-24,186.5200042724609,187.27999877929688,184.4199981689453,187.0800018310547,5205500,0.00479448023615725,2.8600006103515625,-0.16201162285291137
79,2020-04-27,187.4600067138672,189.3699951171875,186.3500061035156,187.77999877929688,6622400,0.005039687003401294,3.0199890136719034,0.27219287292287
80,2020-04-28,187.1199951171875,191.0,187.0,190.5399932861328,6674600,-0.0018137820575173658,4.0,0.007882338729161553
81,2020-04-29,189.6100006103516,192.67999267578125,188.92999267578125,190.63999938964844,7645000,0.013306998493692213,3.75,0.14538698948251572
82,2020-04-30,187.3600006103516,189.8699951171875,186.7100067138672,188.3000030517578,8217800,-0.011866462701109026,3.1599884033203125,0.07492478744277298
83,2020-05-01,182.6699981689453,185.88999938964844,181.63999938964844,185.2100067138672,7513700,-0.02503203686020461,4.25,-0.08567986565747521
84,2020-05-04,177.9499969482422,180.3600006103516,176.33999633789062,179.77999877929688,9448600,-0.025838951486372497,4.020004272460966,0.25751627027962254
85,2020-05-05,176.02999877929688,180.22999572753903,175.92999267578125,180.0500030517578,9016300,-0.01078953752105849,4.300003051757784,-0.045752809940096895
86,2020-05-06,172.3800048828125,177.0399932861328,172.33999633789062,176.94000244140625,9003000,-0.020735067441889132,4.6999969482421875,-0.0014751061965551093
87,2020-05-07,173.47999572753906,175.3800048828125,173.0500030517578,173.39999389648438,6698000,0.006381197433393604,2.3300018310546875,-0.2560257691880484
88,2020-05-08,176.8300018310547,177.25999450683594,174.27999877929688,176.7100067138672,5793600,0.019310619010949326,2.9799957275390625,-0.13502538071065995
89,2020-05-11,174.63999938964844,175.9600067138672,173.61000061035156,175.22999572753906,9235700,-0.012384790017129554,2.350006103515625,0.594121099143883
