Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
60,2020-03-30,130.20281982421875,133.33468648686662,125.5661474497834,125.90472801739104,5057400,0.032287239312743354,7.768539037083215,0.07207359986433204
61,2020-03-31,130.46612548828125,133.56977751015054,126.5160294381236,128.81085110703165,7560100,0.0020222731306278607,7.0537480720269485,0.4948590184679875
62,2020-04-01,128.30296325683594,129.02715202097016,125.06764209595616,126.02695577758588,3297900,-0.016580259614129567,3.959509925014004,-0.5637756114337111
63,2020-04-02,133.72024536132812,134.30336495531498,125.11467853110166,127.29664480354369,4725000,0.042222579798472104,9.188686424213316,0.43272991903938873
64,2020-04-03,131.3501739501953,135.99624414193727,130.2215773315624,132.53519824712717,4013200,-0.017724103068526342,5.7746668103748675,-0.1506455026455027
65,2020-04-06,133.1841583251953,134.9617021205525,131.9521060584247,133.80489154919587,4159900,0.01396255764149501,3.009596062127798,0.03655437057709565
66,2020-04-07,133.43809509277344,136.184352351929,131.7169790091229,134.6137196566698,3900600,0.0019066589508196508,4.467373342806098,-0.06233322916416262
67,2020-04-08,137.51986694335938,138.48858048390252,132.14020752453857,133.59798492612535,4006600,0.030589254498485374,6.348372959363957,0.027175306363123708
68,2020-04-09,137.0590057373047,137.6891387612097,135.0087234521408,135.91159505172084,4415300,-0.003351233652985619,2.6804153090689056,0.10200668896321075
69,2020-04-13,135.8269500732422,137.86783247657505,134.37858700828775,136.34422772175628,2289000,-0.008989235383947913,3.4892454682872938,-0.48157543088804833
70,2020-04-14,142.118896484375,142.53271860846016,135.4789715412406,138.516781259942,3809600,0.04632325475717436,7.053747067219547,0.6643075578855395
71,2020-04-15,142.1847381591797,144.27264864714795,139.6736056751933,140.0780280097966,3614400,0.0004632858573589971,4.5990429719546455,-0.051238975220495586
72,2020-04-16,145.5235137939453,146.33234410570768,142.95595364475807,143.79299779930045,3512900,0.023481955081759764,3.376390460949608,-0.02808211598052235
73,2020-04-17,147.9312286376953,148.2886232057052,143.92470407615073,146.17249834943846,3709900,0.01654519452546488,4.363919129554461,0.05607902302940593
74,2020-04-20,148.40139770507812,150.66800475970192,146.35111585047332,147.310429280596,2562200,0.0031782948854857107,4.316888909228595,-0.3093614383137012
75,2020-04-21,143.58604431152344,146.52981207984072,142.40102021208892,146.16301788114322,4270200,-0.03244816738939593,4.128791867751801,0.6666146280540162
76,2020-04-22,147.3857421875,147.9218196554675,144.4325731447813,145.41068670345513,3278000,0.026462863394528524,3.4892465106862005,-0.23235445646573927
77,2020-04-23,150.41412353515625,152.88764255884172,144.83696670563177,147.82774912969853,5692900,0.020547315518509413,8.050675853209952,0.736699206833435
78,2020-04-24,153.23561096191406,155.0883965398946,151.05365909575065,152.36095311946866,4414000,0.01875812829570056,4.034737444143957,-0.22464824606088285
79,2020-04-27,151.69320678710938,154.71221746665492,151.1571293623007,154.24196756554048,3210300,-0.010065572650655219,3.555088104354212,-0.2727004984141368
80,2020-04-28,147.94061279296875,152.3421447121631,147.2728516594736,151.36403129152677,3270200,-0.02473804907695787,5.069293052689517,0.01865869233404971
81,2020-04-29,145.9279327392578,148.6271622090829,145.4670827330666,148.37322327906847,3240700,-0.013604648620237358,3.160079476016307,-0.009020854993578409
82,2020-04-30,145.43885803222656,147.63962365900906,144.15977799812575,145.96553551375897,4175800,-0.0033514810896767555,3.4798456608833135,0.28854877032739834
83,2020-05-01,144.48898315429688,145.40126907230314,142.55155593902998,144.57362468873765,2576400,-0.0065310941709898485,2.8497131332731556,-0.38301642798984625
84,2020-05-04,144.1597900390625,146.7179503209343,142.25997666409455,145.44827001049478,2228500,-0.002278326748848647,4.457973656839755,-0.1350333799099519
85,2020-05-05,148.49549865722656,149.74636499379608,143.6613307212317,144.64885828703785,2862600,0.03007571401837672,6.085034272564371,0.28454117119138433
86,2020-05-06,147.35751342773438,149.4830523283778,147.04716109797505,149.03161640692957,1964800,-0.007663432493122291,2.4358912304027456,-0.31363096485712294
87,2020-05-07,143.86822509765625,148.30738436197234,143.6331001974314,148.12868714165984,2330600,-0.02367906629877614,4.67428416454095,0.18617671009771986
88,2020-05-08,144.3760986328125,145.2319567735088,143.4732269895017,145.02504569881552,1966600,0.003530129983959407,1.7587297840071017,-0.15618295717840902
89,2020-05-11,149.11627197265625,149.9815302163285,143.97173602805043,144.33853043950813,3196200,0.03283211961489063,6.009794188278079,0.6252415336113089
90,2020-05-12,148.3356170654297,151.7966491484463,148.2133475094808,150.35768572415128,2329400,-0.0052352093899565855,3.5833016389655086,-0.27119704649271015
91,2020-05-13,148.53311157226562,149.8686337825958,146.75556770325224,147.6866675778351,2650000,0.001331403143378651,3.113066079343554,0.1376320082424658
