Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
1,2020-01-03,267.8800354003906,270.04498077350536,263.08752053038893,265.7798319934529,2711400,-0.01011950319527355,6.957460243116429,0.06605331446095786
2,2020-01-06,269.7395935058594,269.84137926152283,265.7335263928738,266.4551746949551,3079100,0.006941756979721658,4.107852868649047,0.13561259865752007
3,2020-01-07,268.111328125,269.68413717675446,266.06663400580146,268.9532560150326,2492900,-0.006036434472583285,3.6175031709530003,-0.19038030593355204
4,2020-01-08,273.7642517089844,275.13354575613107,268.342641239613,269.6934133803545,3379200,0.02108423998164244,6.790904516518083,0.35552970436038356
5,2020-01-09,272.2099609375,274.96704295373314,271.74736498921624,272.27473114656755,2838200,-0.0056774789322625585,3.2196779645169045,-0.16009706439393945
6,2020-01-10,273.0517883300781,273.92147065113704,270.3502165644174,273.92147065113704,2477900,0.0030925664500991434,3.571254086719648,-0.12694665633147773
7,2020-01-13,264.4660339355469,272.42268762613537,263.6981090687893,272.34865648411613,6994900,-0.031443684903291635,8.724578557346092,1.8229145647524114
8,2020-01-14,266.67724609375,266.67724609375,262.9857402524582,264.23475469213594,6056300,0.008361044045232635,3.6915058412918142,-0.13418347653290252
9,2020-01-15,274.23602294921875,277.2244017354579,267.3803503699205,267.3988440359383,6081300,0.0283442887092491,9.844051365537382,0.00412793289632285
10,2020-01-16,278.2421875,278.4734854621393,273.7920169672093,275.70717087003004,3710300,0.014608454818217265,4.681468494930016,-0.3898837419630671
11,2020-01-17,276.1419677734375,278.20515542848653,273.7457246590675,277.5667708968448,4632200,-0.007548171416537963,4.459430769419043,0.24847047408565337
12,2020-01-21,278.0478210449219,279.9074651333028,273.86596531836125,274.6801384164506,4962800,0.0069017153996964176,6.041499814941574,0.07136997538966372
13,2020-01-22,278.1034240722656,279.52822747444503,275.1058114134348,279.39868705851256,3117600,0.00019997649014036334,4.42241606101021,-0.3718062384137987
14,2020-01-23,277.057861328125,278.0940713752774,274.458075259414,277.56673363547725,3169600,-0.0037596183780496117,3.6359961158634064,0.01667949704901206
15,2020-01-24,270.90533447265625,277.4926937662179,269.748845039528,276.0216425954314,3678500,-0.02220664963620067,7.743848726689862,0.16055653710247353
16,2020-01-27,262.8376770019531,266.5291824332682,259.11841695215475,266.4551795288483,4399400,-0.029780356619435344,7.410765481113458,0.19597662090526025
17,2020-01-28,264.4845886230469,266.79756823913624,262.10683880139953,262.6712205097249,4341000,0.006265888665122787,4.690729437736707,-0.013274537436923195
18,2020-01-29,261.7367248535156,264.7806134355812,259.87710874620734,262.754441364879,3963800,-0.010389504295267638,4.903504689373847,-0.08689242110112883
19,2020-01-30,259.9603881835937,260.75603953629894,255.2789201854874,260.75603953629894,4211800,-0.0067867307154396705,5.477119350811535,0.0625662243301881
20,2020-01-31,252.06851196289065,257.9249635118948,250.8935003311689,257.360610078243,5532600,-0.03035799521552296,7.031463180725922,0.31359513747091494
21,2020-02-03,253.52101135253903,256.1393195910901,250.5604149480947,254.54798878865543,5646800,0.005762319848431563,5.578904642995411,0.020641289809492758
22,2020-02-04,259.8308410644531,262.29185444492924,256.16708973345305,256.5371607771058,4290200,0.024888784082435667,6.124764711476189,-0.2402422611036339
23,2020-02-05,273.6069641113281,274.781947459574,264.08673317749214,264.2347672444116,5761000,0.053019583781656276,10.69521428208185,0.3428278401939304
24,2020-02-06,270.5815124511719,275.03168154204616,268.305549146857,274.78188998833286,3044000,-0.011057655896964724,6.726132395189154,-0.47161951050164896
25,2020-02-07,267.5839233398437,271.4419848454915,267.29711619440366,270.9608671295731,3425900,-0.011078321959890447,4.144868651087847,0.12545992115637317
26,2020-02-10,265.5578308105469,267.648773546576,264.09604002691776,264.8176885819325,3147400,-0.007571802162133601,3.5527335196582612,-0.08129250707843194
27,2020-02-11,269.0365295410156,269.7581780105704,264.5123281181283,265.3912716158097,2992200,0.01309959009625472,5.245849892442095,-0.049310542034695315
28,2020-02-12,280.77716064453125,282.18344173066475,272.0155949473129,272.9315256083479,6701900,0.04363954264331871,10.167846783351877,1.2397901209812177
29,2020-02-13,279.5929260253906,283.0161181663819,277.68703349810045,277.68703349810045,3565500,-0.004217702808954171,5.329084668281439,-0.46798669034154494
30,2020-02-14,276.42877197265625,281.2305191018969,275.0687390591498,279.6021726926348,2485600,-0.011317003250815527,6.161780042747125,-0.3028747721217221
31,2020-02-18,279.5374450683594,280.656919164833,276.6323294605417,277.25222034777914,3241700,0.011245837665590841,4.024589704291316,0.30419214676536854
32,2020-02-19,282.4702453613281,283.7655079554343,280.08326345466145,280.6753713971356,3021100,0.010491618724824292,3.6822445007728675,-0.06805071413147423
33,2020-02-20,279.52813720703125,281.4062749892403,275.6053339341469,280.51809897614703,2885500,-0.01041563917832622,5.800941055093347,-0.044884313660587205
34,2020-02-21,278.8805236816406,279.87974651586177,276.27147634569724,277.9923475670293,2987100,-0.0023168097918921937,3.6082701701645306,0.03521053543579966
35,2020-02-24,257.0090026855469,267.3711324798489,256.8702295815526,265.42825255471104,8790600,-0.07842613283766431,10.50090289829626,1.9428542733755148
36,2020-02-25,243.686279296875,260.88559129725485,242.409510108214,259.1924745089478,8171200,-0.051837574752088944,18.476081189040855,-0.07046162946784063
37,2020-02-26,243.32537841796875,249.64442430118615,239.35629875025228,244.91670901837543,6806600,-0.0014810061524497264,10.28812555093387,-0.167001174858038
38,2020-02-27,234.9246826171875,242.5390066096858,233.2130863853975,239.08805952356312,7604300,-0.03452453605702843,9.325920224288296,0.11719507536802509
39,2020-02-28,235.88687133789065,237.86678092134025,226.9495165333592,227.7821833786466,9961000,0.0040957327684083555,10.91726438798105,0.30991675762397586
40,2020-03-02,252.6791076660156,252.7993871121845,231.59400781415707,238.08884379577268,8866300,0.07118766819401023,21.205379298027424,-0.10989860455777534
41,2020-03-03,241.84510803222656,259.37750228024004,239.83745782722065,254.7515437171347,9188100,-0.04287651533148962,19.54004445301939,0.036294733992759065
42,2020-03-04,267.7690124511719,273.7087277578163,261.0983595115075,268.3056112504435,14533000,0.10719218027552935,12.61036824630878,0.5817198332625897
43,2020-03-05,261.792236328125,267.76899505734974,258.9981675500269,260.533989164884,5908400,-0.022320641467566182,8.77082750732285,-0.593449391041079
44,2020-03-06,262.6342163085937,263.6519330306877,251.5596682975774,254.8163618082781,5361900,0.003216214477091528,12.092264733110312,-0.0924954302349198
45,2020-03-09,252.98443603515625,260.38597008361694,239.8467018052938,244.6762039012989,8070700,-0.03674228137166635,20.539268278323135,0.5051940543464071
46,2020-03-10,259.0536804199219,262.66192246456296,252.1147425515311,258.7946278688864,7366000,0.02399058408447785,10.547179913031869,-0.0873158462091268
47,2020-03-11,256.999755859375,263.90167821193205,252.8178994330465,254.20568701848512,7744600,-0.007928567381160101,11.083778778885545,0.0513983165897367
48,2020-03-12,231.67726135253903,251.8649514034069,231.29792936023503,240.5498465346444,10496600,-0.09853120063153642,20.567022043171875,0.35534436897967625
49,2020-03-13,252.77935791015625,253.87580615877263,225.1170937997188,242.5116897521681,9308400,0.09108402108356484,28.758712359053845,-0.11319855953356328
50,2020-03-16,209.1070251464844,228.2857000494248,208.0942012110203,226.65031422211243,10303500,-0.17276858808698303,20.1914988384045,0.10690344205233981
51,2020-03-17,226.9290771484375,231.1476361588896,212.1269234284707,214.47781093959057,9642200,0.08522933167581681,19.02071273041892,-0.06418207405250642
52,2020-03-18,201.69192504882807,215.06309758634825,186.01634304836583,209.7666663222086,12917500,-0.11121162795326334,29.046754537982423,0.3396838895687706
